Device: /dev/sdb
Table: MBR

Partition   Type              StartLBA    EndLBA      Sectors     Size(MiB)   
------------------------------------------------------------------------------
EXT         Extended (LBA)    2048        94371839    94369792    46079.00    
L1          Linux             4096        296959      292864      143.00      
L2          Linux             464896      866303      401408      196.00      
L3          Linux             1243136     1347583     104448      51.00       
L4          Linux             1550336     1763327     212992      104.00      
L5          Linux             1986560     2277375     290816      142.00      
L6          Linux             2736128     2971647     235520      115.00      
L7          Linux             3440640     3876863     436224      213.00      
L8          Linux             4063232     4546559     483328      236.00      
L9          Linux             4888576     4990975     102400      50.00       
L10         Linux             5167104     5384191     217088      106.00      
L11         Linux             5632000     5791743     159744      78.00       
L12         Linux             6049792     6361087     311296      152.00      
L13         Linux             6619136     6735871     116736      57.00       
L14         Linux             6891520     7335935     444416      217.00      
L15         Linux             7684096     7809023     124928      61.00       
L16         Linux             8189952     8353791     163840      80.00       
L17         Linux             8792064     9099263     307200      150.00      
L18         Linux             9402368     9631743     229376      112.00      
L19         Linux             9752576     10215423    462848      226.00      
L20         Linux             10520576    10840063    319488      156.00      
L21         Linux             11235328    11423743    188416      92.00       
L22         Linux             11757568    12023807    266240      130.00      
L23         Linux             12378112    12554239    176128      86.00       
L24         Linux             12857344    13109247    251904      123.00      
L25         Linux             13211648    13393919    182272      89.00       
L26         Linux             13723648    14000127    276480      135.00      
L27         Linux             14317568    14721023    403456      197.00      
L28         Linux             15089664    15532031    442368      216.00      
L29         Linux             15882240    16310271    428032      209.00      
L30         Linux             16596992    17004543    407552      199.00      
L31         Linux             17139712    17287167    147456      72.00       
L32         Linux             17786880    17948671    161792      79.00       
L33         Linux             18089984    18343935    253952      124.00      
L34         Linux             18546688    18782207    235520      115.00      
L35         Linux             19077120    19210239    133120      65.00       
L36         Linux             19517440    19922943    405504      198.00      
L37         Linux             20299776    20549631    249856      122.00      
L38         Linux             20723712    21004287    280576      137.00      
L39         Linux             21346304    21821439    475136      232.00      
L40         Linux             21925888    22228991    303104      148.00      
L41         Linux             22736896    23222271    485376      237.00      
L42         Linux             23404544    23654399    249856      122.00      
L43         Linux             23887872    24041471    153600      75.00       
L44         Linux             24303616    24414207    110592      54.00       
L45         Linux             24733696    25061375    327680      160.00      
L46         Linux             25294848    25683967    389120      190.00      
L47         Linux             25956352    26347519    391168      191.00      
L48         Linux             26691584    26935295    243712      119.00      
L49         Linux             27092992    27377663    284672      139.00      
L50         Linux             27738112    27858943    120832      59.00       
L51         Linux             28315648    28555263    239616      117.00      
L52         Linux             28950528    29165567    215040      105.00      
L53         Linux             29378560    29564927    186368      91.00       
L54         Linux             29691904    30148607    456704      223.00      
L55         Linux             30644224    31148031    503808      246.00      
L56         Linux             31479808    31852543    372736      182.00      
L57         Linux             32139264    32258047    118784      58.00       
L58         Linux             32399360    32555007    155648      76.00       
L59         Linux             32772096    33122303    350208      171.00      
L60         Linux             33329152    33693695    364544      178.00      

Total partitions: 61
