Disk /dev/sdc: 94371840 sectors, 45.0 GiB
Model: VBOX HARDDISK   
Sector size (logical/physical): 512/512 bytes
Disk identifier (GUID): 8E0964AB-42BC-43D2-9E1A-A4529DAD1DDA
Partition table holds up to 128 entries
Main partition table begins at sector 2 and ends at sector 33
First usable sector is 34, last usable sector is 94371806
Partitions will be aligned on 2048-sector boundaries
Total free space is 56180669 sectors (26.8 GiB)

Number  Start (sector)    End (sector)  Size       Code  Name
   1            2048          483327   235.0 MiB   8300  primary
   2          483328          585727   50.0 MiB    8300  primary
   3          585728          839679   124.0 MiB   8300  primary
   4          839680         1040383   98.0 MiB    8300  primary
   5         1040384         1224703   90.0 MiB    8300  primary
   6         1224704         1705983   235.0 MiB   8300  primary
   7         1705984         2002943   145.0 MiB   8300  primary
   8         2002944         2336767   163.0 MiB   8300  primary
   9         2336768         2703359   179.0 MiB   8300  primary
  10         2703360         2983935   137.0 MiB   8300  primary
  11         2983936         3213311   112.0 MiB   8300  primary
  12         3213312         3602431   190.0 MiB   8300  primary
  13         3602432         4009983   199.0 MiB   8300  primary
  14         4009984         4130815   59.0 MiB    8300  primary
  15         4130816         4464639   163.0 MiB   8300  primary
  16         4464640         4855807   191.0 MiB   8300  primary
  17         4855808         5267455   201.0 MiB   8300  primary
  18         5267456         5595135   160.0 MiB   8300  primary
  19         5595136         5918719   158.0 MiB   8300  primary
  20         5918720         6150143   113.0 MiB   8300  primary
  21         6150144         6420479   132.0 MiB   8300  primary
  22         6420480         6770687   171.0 MiB   8300  primary
  23         6770688         7149567   185.0 MiB   8300  primary
  24         7149568         7467007   155.0 MiB   8300  primary
  25         7467008         7825407   175.0 MiB   8300  primary
  26         7825408         8128511   148.0 MiB   8300  primary
  27         8128512         8263679   66.0 MiB    8300  primary
  28         8263680         8441855   87.0 MiB    8300  primary
  29         8441856         8620031   87.0 MiB    8300  primary
  30         8620032         9111551   240.0 MiB   8300  primary
  31         9111552         9482239   181.0 MiB   8300  primary
  32         9482240         9627647   71.0 MiB    8300  primary
  33         9627648         9897983   132.0 MiB   8300  primary
  34         9897984        10229759   162.0 MiB   8300  primary
  35        10229760        10395647   81.0 MiB    8300  primary
  36        10395648        10713087   155.0 MiB   8300  primary
  37        10713088        11038719   159.0 MiB   8300  primary
  38        11038720        11425791   189.0 MiB   8300  primary
  39        11425792        11796479   181.0 MiB   8300  primary
  40        11796480        12283903   238.0 MiB   8300  primary
  41        12283904        12388351   51.0 MiB    8300  primary
  42        12388352        12515327   62.0 MiB    8300  primary
  43        12515328        12988415   231.0 MiB   8300  primary
  44        12988416        13182975   95.0 MiB    8300  primary
  45        13182976        13443071   127.0 MiB   8300  primary
  46        13443072        13797375   173.0 MiB   8300  primary
  47        13797376        14200831   197.0 MiB   8300  primary
  48        14200832        14395391   95.0 MiB    8300  primary
  49        14395392        14579711   90.0 MiB    8300  primary
  50        14579712        14755839   86.0 MiB    8300  primary
  51        14755840        15233023   233.0 MiB   8300  primary
  52        15233024        15534079   147.0 MiB   8300  primary
  53        15534080        15671295   67.0 MiB    8300  primary
  54        15671296        15960063   141.0 MiB   8300  primary
  55        15960064        16109567   73.0 MiB    8300  primary
  56        16109568        16439295   161.0 MiB   8300  primary
  57        16439296        16920575   235.0 MiB   8300  primary
  58        16920576        17166335   120.0 MiB   8300  primary
  59        17166336        17524735   175.0 MiB   8300  primary
  60        17524736        17850367   159.0 MiB   8300  primary
  61        17850368        18094079   119.0 MiB   8300  primary
  62        18094080        18315263   108.0 MiB   8300  primary
  63        18315264        18550783   115.0 MiB   8300  primary
  64        18550784        19034111   236.0 MiB   8300  primary
  65        19034112        19525631   240.0 MiB   8300  primary
  66        19525632        19869695   168.0 MiB   8300  primary
  67        19869696        20375551   247.0 MiB   8300  primary
  68        20375552        20801535   208.0 MiB   8300  primary
  69        20801536        21247999   218.0 MiB   8300  primary
  70        21248000        21716991   229.0 MiB   8300  primary
  71        21716992        21889023   84.0 MiB    8300  primary
  72        21889024        22188031   146.0 MiB   8300  primary
  73        22188032        22476799   141.0 MiB   8300  primary
  74        22476800        22798335   157.0 MiB   8300  primary
  75        22798336        22978559   88.0 MiB    8300  primary
  76        22978560        23318527   166.0 MiB   8300  primary
  77        23318528        23801855   236.0 MiB   8300  primary
  78        23801856        23975935   85.0 MiB    8300  primary
  79        23975936        24143871   82.0 MiB    8300  primary
  80        24143872        24522751   185.0 MiB   8300  primary
  81        24522752        24694783   84.0 MiB    8300  primary
  82        24694784        24991743   145.0 MiB   8300  primary
  83        24991744        25196543   100.0 MiB   8300  primary
  84        25196544        25360383   80.0 MiB    8300  primary
  85        25360384        25632767   133.0 MiB   8300  primary
  86        25632768        25786367   75.0 MiB    8300  primary
  87        25786368        26056703   132.0 MiB   8300  primary
  88        26056704        26279935   109.0 MiB   8300  primary
  89        26279936        26781695   245.0 MiB   8300  primary
  90        26781696        27146239   178.0 MiB   8300  primary
  91        27146240        27609087   226.0 MiB   8300  primary
  92        27609088        27996159   189.0 MiB   8300  primary
  93        27996160        28434431   214.0 MiB   8300  primary
  94        28434432        28667903   114.0 MiB   8300  primary
  95        28667904        29085695   204.0 MiB   8300  primary
  96        29085696        29528063   216.0 MiB   8300  primary
  97        29528064        29734911   101.0 MiB   8300  primary
  98        29734912        29925375   93.0 MiB    8300  primary
