Disk /dev/sdb: 45 GiB, 48318382080 bytes, 94371840 sectors
Disk model: VBOX HARDDISK   
Units: sectors of 1 * 512 = 512 bytes
Sector size (logical/physical): 512 bytes / 512 bytes
I/O size (minimum/optimal): 512 bytes / 512 bytes
Disklabel type: gpt
Disk identifier: C3AE46C8-156B-4622-91D2-5F1D5275366E

Device         Start      End Sectors  Size Type
/dev/sdb1       2048   339967  337920  165M Linux filesystem
/dev/sdb2     339968   757759  417792  204M Linux filesystem
/dev/sdb3     757760  1232895  475136  232M Linux filesystem
/dev/sdb4    1232896  1513471  280576  137M Linux filesystem
/dev/sdb5    1513472  1853439  339968  166M Linux filesystem
/dev/sdb6    1853440  2363391  509952  249M Linux filesystem
/dev/sdb7    2363392  2766847  403456  197M Linux filesystem
/dev/sdb8    2766848  2971647  204800  100M Linux filesystem
/dev/sdb9    2971648  3317759  346112  169M Linux filesystem
/dev/sdb10   3317760  3461119  143360   70M Linux filesystem
/dev/sdb11   3461120  3940351  479232  234M Linux filesystem
/dev/sdb12   3940352  4102143  161792   79M Linux filesystem
/dev/sdb13   4102144  4239359  137216   67M Linux filesystem
/dev/sdb14   4239360  4694015  454656  222M Linux filesystem
/dev/sdb15   4694016  5171199  477184  233M Linux filesystem
/dev/sdb16   5171200  5470207  299008  146M Linux filesystem
/dev/sdb17   5470208  5832703  362496  177M Linux filesystem
/dev/sdb18   5832704  6193151  360448  176M Linux filesystem
/dev/sdb19   6193152  6449151  256000  125M Linux filesystem
/dev/sdb20   6449152  6748159  299008  146M Linux filesystem
/dev/sdb21   6748160  6875135  126976   62M Linux filesystem
/dev/sdb22   6875136  7086079  210944  103M Linux filesystem
/dev/sdb23   7086080  7587839  501760  245M Linux filesystem
/dev/sdb24   7587840  7706623  118784   58M Linux filesystem
/dev/sdb25   7706624  7901183  194560   95M Linux filesystem
/dev/sdb26   7901184  8251391  350208  171M Linux filesystem
/dev/sdb27   8251392  8626175  374784  183M Linux filesystem
/dev/sdb28   8626176  9005055  378880  185M Linux filesystem
/dev/sdb29   9005056  9132031  126976   62M Linux filesystem
/dev/sdb30   9132032  9283583  151552   74M Linux filesystem
/dev/sdb31   9283584  9533439  249856  122M Linux filesystem
/dev/sdb32   9533440  9920511  387072  189M Linux filesystem
/dev/sdb33   9920512 10166271  245760  120M Linux filesystem
/dev/sdb34  10166272 10604543  438272  214M Linux filesystem
/dev/sdb35  10604544 10868735  264192  129M Linux filesystem
/dev/sdb36  10868736 11091967  223232  109M Linux filesystem
/dev/sdb37  11091968 11493375  401408  196M Linux filesystem
/dev/sdb38  11493376 11921407  428032  209M Linux filesystem
/dev/sdb39  11921408 12044287  122880   60M Linux filesystem
/dev/sdb40  12044288 12378111  333824  163M Linux filesystem
