Device: /dev/sdc
Table: MBR

Partition   Type              StartLBA    EndLBA      Sectors     Size(MiB)   
------------------------------------------------------------------------------
EXT         Extended          2048        41943039    41940992    20479.00    
L1          Linux             4096        108543      104448      51.00       
L2          Linux             110592      493567      382976      187.00      
L3          Linux             495616      987135      491520      240.00      
L4          Linux             989184      1380351     391168      191.00      
L5          Linux             1382400     1521663     139264      68.00       
L6          Linux             1523712     1814527     290816      142.00      
L7          Linux             1816576     1933311     116736      57.00       
L8          Linux             1935360     2101247     165888      81.00       
L9          Linux             2103296     2613247     509952      249.00      
L10         Linux             2615296     2977791     362496      177.00      
L11         Linux             2979840     3299327     319488      156.00      
L12         Linux             3301376     3813375     512000      250.00      
L13         Linux             3815424     3944447     129024      63.00       
L14         Linux             3946496     4073471     126976      62.00       
L15         Linux             4075520     4368383     292864      143.00      
L16         Linux             4370432     4661247     290816      142.00      
L17         Linux             4663296     5126143     462848      226.00      
L18         Linux             5128192     5378047     249856      122.00      
L19         Linux             5380096     5642239     262144      128.00      
L20         Linux             5644288     6152191     507904      248.00      
L21         Linux             6154240     6404095     249856      122.00      
L22         Linux             6406144     6782975     376832      184.00      
L23         Linux             6785024     7245823     460800      225.00      
L24         Linux             7247872     7636991     389120      190.00      
L25         Linux             7639040     8062975     423936      207.00      
L26         Linux             8065024     8427519     362496      177.00      
L27         Linux             8429568     8781823     352256      172.00      
L28         Linux             8783872     9064447     280576      137.00      
L29         Linux             9066496     9209855     143360      70.00       
L30         Linux             9211904     9457663     245760      120.00      
L31         Linux             9459712     9711615     251904      123.00      
L32         Linux             9713664     10199039    485376      237.00      
L33         Linux             10201088    10594303    393216      192.00      
L34         Linux             10596352    11028479    432128      211.00      
L35         Linux             11030528    11272191    241664      118.00      
L36         Linux             11274240    11716607    442368      216.00      
L37         Linux             11718656    12120063    401408      196.00      
L38         Linux             12122112    12441599    319488      156.00      
L39         Linux             12443648    12658687    215040      105.00      
L40         Linux             12660736    13144063    483328      236.00      
L41         Linux             13146112    13389823    243712      119.00      
L42         Linux             13391872    13719551    327680      160.00      
L43         Linux             13721600    14100479    378880      185.00      
L44         Linux             14102528    14436351    333824      163.00      
L45         Linux             14438400    14880767    442368      216.00      
L46         Linux             14882816    15122431    239616      117.00      
L47         Linux             15124480    15245311    120832      59.00       
L48         Linux             15247360    15370239    122880      60.00       
L49         Linux             15372288    15622143    249856      122.00      
L50         Linux             15624192    15802367    178176      87.00       
L51         Linux             15804416    15908863    104448      51.00       
L52         Linux             15910912    16130047    219136      107.00      
L53         Linux             16132096    16340991    208896      102.00      
L54         Linux             16343040    16519167    176128      86.00       
L55         Linux             16521216    16754687    233472      114.00      
L56         Linux             16756736    17158143    401408      196.00      

Total partitions: 57
